iso3_code,total_members,n_dois,member_ror_share,work_ror_share,work_orcid_share,work_abstract_share
NOR,37,120459,0.10810810810810811,8.301579790634157e-05,0.0453515303962344,0.21390680646527033
KWT,10,16548,0.1,6.043026347594876e-05,0.005801305293691081,0.7049190234469422
LUX,5,57459,0.2,3.4807427905114954e-05,0.001026819123200891,0.004786021336953306
GRC,46,201459,0.043478260869565216,3.474652410664205e-05,0.03514859102844747,0.36689351183119145
EGY,52,486631,0.057692307692307696,2.2604396349595484e-05,0.002675538549743029,0.01281874767534333
DNK,27,108759,0.037037037037037035,1.838928272602727e-05,0.06630255886869132,0.459897571695216
KOR,2618,1307120,0.0007639419404125286,6.12032560132199e-06,0.08973391884448252,0.08354550462084583
VGB,2,372432,0.0,0.0,0.017321282811358852,0.010058211968896336
NPL,50,63550,0.0,0.0,0.1685759244689221,0.9677734067663257
NIC,2,11575,0.0,0.0,0.40855291576673863,0.9561123110151188
PRI,12,6271,0.0,0.0,0.05182586509328656,0.7678201243820763
MUS,5,6135,0.0,0.0,0.06764466177669112,0.5061124694376528
GTM,20,5002,0.0,0.0,0.09296281487405038,0.9068372650939625
SEN,7,4748,0.0,0.0,0.02127211457455771,0.8409856781802865
BHR,5,4091,0.0,0.0,0.0009777560498655585,0.04448790026888291
JAM,3,3426,0.0,0.0,0.03210741389375365,0.46088733216579103
XKX,8,2119,0.0,0.0,0.0070788107597923545,0.39688532326569137
SYR,5,2009,0.0,0.0,0.019910403185664508,0.04031856645097063
ETH,16,1643,0.0,0.0,0.06755934266585514,0.8630553864881315
